valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,language
0.454,1992,0.161,['4 Non Blondes'],0.565,295533,0.564,0,0jWgAnTrNZmOGmqgvHhZEm,0,2,0.114,-10.044,1,What's Up?,79,01/01/1992,0.0292,134.355,en
0.427,2002,0.0572,['Avril Lavigne'],0.585,244507,0.776,0,5xEM5hIgJ1jjgcEBfpkt2F,7.74E-06,5,0.3,-5.898,1,Complicated,78,04/06/2002,0.0459,77.987,en
0.74,1972,0.343,['Eagles'],0.575,211578,0.67,0,4yugZvBYaoREkJKtbG08Qr,4.95E-06,7,0.129,-10.39,1,Take It Easy - 2013 Remaster,77,1972,0.0318,139.191,en
0.831,1972,0.686,"['America', 'George Martin']",0.654,252240,0.506,0,54eZmuggBFJbV7k248bTTt,0.0155,11,0.155,-17.18,0,A Horse with No Name,77,1972,0.0535,123.179,en
0.872,2002,0.038,['Stevie Wonder'],0.633,245493,0.634,0,1h2xVEoJORqrg71HocgqXd,0.0064,8,0.0385,-12.115,1,Superstition - Single Version,77,29/10/2002,0.0725,100.499,en
0.516,2002,0.00797,['Audioslave'],0.614,293960,0.568,0,3YuaBvuZqcwN3CEAyyoaei,0,7,0.0997,-5.477,0,Like a Stone,77,17/11/2002,0.0276,107.849,en
0.255,2002,0.599,['Coldplay'],0.577,307880,0.749,0,0BCPKOYdS2jbQ8iyB56Zns,0.0115,5,0.183,-7.215,0,Clocks,77,08/08/2002,0.0279,130.97,en
0.108,1992,0.844,['Whitney Houston'],0.306,271093,0.214,0,4eHbdreAnSOrDDsFfc4Fpm,5.30E-06,4,0.0839,-12.518,1,I Will Always Love You,77,17/11/1992,0.0356,66.98,en
0.726,1993,0.183,['Counting Crows'],0.578,272293,0.817,0,5DiXcVovI0FcY2s0icWWUu,3.06E-06,0,0.285,-6.542,1,Mr. Jones,77,01/01/1993,0.0363,141.621,en
0.913,1972,0.221,['The Doobie Brothers'],0.645,227267,0.598,0,7Ar4G7Ci11gpt6sfH9Cgz5,3.53E-06,1,0.0721,-13.18,0,Listen to the Music,76,1972,0.0335,105.929,en
0.385,1972,0.683,['Lou Reed'],0.575,254173,0.318,0,5p3JunprHCxClJjOmcLV8G,0.000202,0,0.0934,-16.729,1,Walk On the Wild Side,76,01/12/1972,0.109,104.522,en
0.484,2002,6.79E-05,['Avril Lavigne'],0.487,204000,0.9,0,00Mb3DuaIH1kjrwOku9CGU,0,0,0.358,-4.417,1,Sk8er Boi,76,04/06/2002,0.0482,149.937,en
0.163,2002,0.649,['Johnny Cash'],0.534,216533,0.392,0,28cnXtME493VX9NOw9cIUh,0.000227,9,0.0948,-7.636,0,Hurt,76,01/01/2002,0.0267,90.379,en
0.233,2002,0.0492,['3 Doors Down'],0.557,238733,0.533,0,3NLrRZoMF0Lx6zTlYqeIo4,0,10,0.205,-6.817,0,Here Without You,76,12/11/2002,0.0252,143.994,en
0.268,2002,0.323,['Vanessa Carlton'],0.56,237493,0.825,0,4w1lzcaoZ1IC2K5TwjalRP,0,11,0.161,-3.862,1,A Thousand Miles,76,30/04/2002,0.0379,94.931,en
0.681,2003,0.00249,"['Beyoncé', 'JAY-Z']",0.646,236133,0.77,0,5IVuqXILoxVWvWEPm82Jxr,0,2,0.0715,-6.596,0,Crazy In Love (feat. Jay-Z),76,24/06/2003,0.226,99.165,en
0.204,1993,0.0783,['The Cranberries'],0.439,274707,0.434,0,0gEyKnHvgkrkBM6fbeHdwK,4.87E-05,7,0.14,-14.918,1,Linger,76,01/03/1993,0.0265,94.845,en
0.507,1972,0.57,['Al Green'],0.756,199396,0.397,0,63xdwScd1Ai1GigAwQxE8y,0.0115,7,0.0542,-10.701,0,Let's Stay Together,75,1972,0.0522,101.985,en
0.647,1972,0.157,['Carly Simon'],0.659,258411,0.678,0,2DnJjbjNTV9Nd5NOa1KGba,6.69E-06,0,0.0784,-8.18,1,You're so Vain,75,1972,0.0313,106.186,en
0.537,2003,0.00148,['Jet'],0.613,213800,0.953,0,305WCRhhS10XUcH6AEwZk6,0.000582,2,0.152,-3.435,1,Are You Gonna Be My Girl,75,15/09/2003,0.0855,105.046,en
0.714,2003,0.184,['Don Omar'],0.817,204600,0.714,0,69Ej1xrGjOcHvIMtMKxK0G,0.000132,4,0.042,-7.501,0,Dile,75,01/01/2003,0.141,94.001,es
0.166,1992,0.615,['R.E.M.'],0.467,320267,0.324,0,6PypGyiu0Y2lCDBN1XZEnP,0.0248,2,0.118,-10.451,1,Everybody Hurts,75,05/10/1992,0.0255,94.301,en
0.382,1993,0.199,['Nirvana'],0.256,281160,0.641,0,11LmqTE2naFULdEP94AUBa,0.0329,1,0.0853,-10.283,1,Heart-Shaped Box,75,21/09/1993,0.0552,203.006,en
0.792,1993,0.219,['Tina Turner'],0.851,226880,0.406,0,4kOfxxnW1ukZdsNbCKY9br,6.41E-06,1,0.0853,-11.631,1,What's Love Got to Do with It,75,1993,0.0661,97.84,en
0.166,1992,0.615,['R.E.M.'],0.467,320267,0.324,0,6PypGyiu0Y2lCDBN1XZEnP,0.0248,2,0.118,-10.451,1,Everybody Hurts,75,05/10/1992,0.0255,94.301,en
0.826,1972,0.396,['Looking Glass'],0.716,186827,0.625,0,2BY7ALEWdloFHgQZG6VMLA,1.97E-05,1,0.134,-11.369,0,Brandy (You're a Fine Girl),74,1972,0.0601,125.276,en
0.963,2002,0.55,['José Feliciano'],0.513,182067,0.831,0,0oPdaY4dXtc3ZsaG17V972,0,2,0.336,-9.004,1,Feliz Navidad,74,24/09/2002,0.0383,148.837,en
0.893,2002,0.00666,['Good Charlotte'],0.494,175093,0.939,0,0BRHnOFm6sjxN1i9LJrUDu,0,1,0.139,-3.127,1,The Anthem,74,04/10/2002,0.126,177.751,en
0.565,2002,0.575,['Justin Timberlake'],0.624,288333,0.653,0,7Lf7oSEVdzZqTA0kEDSlS5,0,8,0.104,-6.582,0,Cry Me a River,74,04/11/2002,0.176,73.884,en
0.768,2002,0.416,"['Aventura', 'Judy Santos']",0.804,254720,0.56,0,65H6t1WQBim6q93yM8fEwn,0,1,0.0608,-6.912,0,Obsesion,74,01/06/2002,0.0397,133.682,de
0.198,2002,0.0264,['Red Hot Chili Peppers'],0.451,216933,0.97,0,1f2V8U1BiWaC9aJWmpOARe,0.00355,0,0.102,-4.938,1,By the Way,74,09/07/2002,0.107,122.444,en
0.618,2002,0.883,['Norah Jones'],0.732,186147,0.198,0,6ybViy2qrO9sIi41EgRJgx,1.10E-05,5,0.0659,-11.775,1,Don't Know Why,74,26/02/2002,0.028,88.174,en
0.726,2002,0.615,['Sean Paul'],0.735,211666,0.824,0,5qTvkDrSfvwDv6RBjjcfQr,0,10,0.158,-4.143,0,Get Busy,74,12/11/2002,0.036,100.202,en
0.895,2002,0.176,['Bacilos'],0.76,266160,0.773,0,7DhYjNLksXZhbRQeheAums,0,9,0.1,-5.314,1,Caraluna,74,25/06/2002,0.0675,102.789,es
0.927,2003,0.00207,['Fountains Of Wayne'],0.774,197987,0.75,0,27L8sESb3KR79asDUBu8nW,1.78E-05,11,0.0808,-4.927,0,Stacy's Mom,74,01/01/2003,0.0412,118.015,en
0.807,2003,0.151,['The Proclaimers'],0.851,219467,0.551,0,66S14BkJDxgkYxLl5DCqOz,0,4,0.0827,-5.177,1,I'm Gonna Be (500 Miles),74,01/09/2003,0.0396,131.922,en
0.101,2003,0.863,['Evanescence'],0.19,262533,0.265,0,4UzVcXufOhGUwF56HT7b8M,0,9,0.134,-9.206,1,My Immortal,74,04/03/2003,0.0356,79.012,en
0.566,1992,0.619,['Blind Melon'],0.389,217107,0.476,0,6txWz9UapYHVxEd7dDIHXT,5.09E-05,9,0.255,-9.342,1,No Rain,74,01/01/1992,0.0316,148.117,en
0.24,1992,0.576,['Whitney Houston'],0.54,289160,0.401,0,31er9IGsfFbwqy1pH4aiTP,0,0,0.164,-10.499,1,I Have Nothing,74,17/11/1992,0.0364,152.974,en
0.427,1993,0.0868,['Aerosmith'],0.37,316693,0.866,0,74irxdVWstNlEQjsvArITq,0,6,0.137,-3.879,0,Crazy,74,01/01/1993,0.0384,162.086,en
0.437,1993,0.46,['Luis Miguel'],0.641,281000,0.593,0,6vPAmoERUMRoTZaCCSWQ12,0,3,0.169,-7.884,1,Hasta Que Me Olvides,74,1993,0.0264,119.828,es
0.566,1992,0.619,['Blind Melon'],0.389,217107,0.476,0,6txWz9UapYHVxEd7dDIHXT,5.09E-05,9,0.255,-9.342,1,No Rain,74,01/01/1992,0.0316,148.117,en
0.24,1992,0.576,['Whitney Houston'],0.54,289160,0.401,0,31er9IGsfFbwqy1pH4aiTP,0,0,0.164,-10.499,1,I Have Nothing,74,17/11/1992,0.0364,152.974,en
0.803,1972,0.189,['Neil Young'],0.541,187013,0.459,0,1Q1b8eVkUPGlpSArl8JAVw,0.0274,4,0.099,-10.433,0,Heart of Gold - 2009 Remaster,73,14/02/1972,0.0297,171.165,en
0.55,1972,0.166,['David Bowie'],0.486,254293,0.45,0,0pQskrTITgmCMyr85tb9qq,2.06E-06,5,0.54,-10.298,1,Starman - 2012 Remaster,73,06/06/1972,0.0267,100.456,en
0.544,2002,0.0596,['Maroon 5'],0.706,257133,0.713,0,7sapKrjDij2fpDVj0GxP66,0,0,0.132,-5.512,0,She Will Be Loved,73,25/06/2002,0.0301,102.037,en
0.637,2002,0.000218,['Foo Fighters'],0.577,263440,0.604,0,6tsojOQ5wHaIjKqIryLZK6,0.000579,5,0.477,-5.703,1,All My Life,73,22/10/2002,0.0495,167.719,en
0.823,2002,0.114,"['Grits', 'TobyMac']",0.757,233173,0.862,0,2cGJxXXIBrxMhk2fWUJTLs,0.000192,2,0.285,-3.519,1,Ooh Ahh (My Life Be Like) (feat. Toby Mac),73,06/08/2002,0.0695,99.021,en
0.786,2003,3.43E-05,['Yellowcard'],0.486,198267,0.904,0,23oxJmDc1V9uLUSmN2LIvx,2.83E-05,6,0.0947,-3.751,0,Ocean Avenue,73,01/01/2003,0.0638,173.734,en
0.804,2003,0.11,['Black Eyed Peas'],0.834,272533,0.696,0,3CNqo3gYrfexdrtjFmC9he,0,5,0.13,-3.224,1,Where Is The Love?,73,2003,0.197,94.09,en
0.535,2003,0.688,"['Baby Bash', 'Frankie J']",0.662,239027,0.748,0,6Nq5lE0CeOAAAqN4qhkbZU,8.43E-06,5,0.0841,-3.041,0,Suga Suga,73,01/01/2003,0.268,82.331,en
0.161,1992,0.101,['Bon Jovi'],0.309,394400,0.596,0,1zng9uqqXoPkmU05nsAlsw,0,5,0.21,-5.599,1,Bed Of Roses,73,03/11/1992,0.0293,164.587,en
0.514,1993,0.00313,['The Cranberries'],0.551,271560,0.643,0,4JGKZS7h4Qa16gOU3oNETV,0.00385,4,0.421,-13.091,1,Dreams,73,01/03/1993,0.0353,128.661,en
0.777,1993,0.00165,['Lenny Kravitz'],0.619,211933,0.67,0,45Ia1U4KtIjAPPU7Wv1Sea,0.0109,11,0.331,-10.322,0,Are You Gonna Go My Way,73,09/03/1993,0.0353,129.269,en
0.401,1993,0.0131,['Duran Duran'],0.472,340200,0.652,0,0wokCRaKD0zPNhMRXAgVsr,1.12E-05,1,0.14,-10.171,0,Ordinary World,73,15/02/1993,0.0305,140.124,en
0.161,1992,0.101,['Bon Jovi'],0.309,394400,0.596,0,1zng9uqqXoPkmU05nsAlsw,0,5,0.21,-5.599,1,Bed Of Roses,73,03/11/1992,0.0293,164.587,en
0.766,1972,0.133,['Steely Dan'],0.523,277267,0.758,0,1I7zHEdDx8Ny5RxzYPqsU2,0,2,0.0952,-9.81,1,Reelin' In The Years,72,01/01/1972,0.0403,135.437,en
0.798,1972,0.237,['Paul Simon'],0.626,164813,0.816,0,6vxHp3CDNo0afgKGp2yi1E,1.80E-06,9,0.104,-10.593,1,Me and Julio Down by the Schoolyard,72,14/01/1972,0.13,105.33,en
0.423,1972,0.782,['Bill Withers'],0.619,258835,0.22,0,3M8FzayQWtkvOhqMn2V4T2,1.19E-05,0,0.124,-13.843,1,Lean on Me,72,01/05/1972,0.0667,75.16,en
0.818,2002,0.202,['Justin Timberlake'],0.891,267267,0.714,0,1AWQoqb9bSvzTjaLralEkT,0.000234,4,0.0521,-6.055,0,Rock Your Body,72,04/11/2002,0.14,100.972,en
0.0992,2002,0.578,['Christina Aguilera'],0.456,238560,0.573,0,3TCauNPqFiniaYHBvEVoHG,3.05E-06,5,0.114,-3.866,0,Beautiful,72,19/07/2002,0.0275,76.19,en
0.147,2002,0.904,['Norah Jones'],0.363,198147,0.129,0,0Cvjlph1WGbwZY1PlMEtJY,1.52E-06,0,0.157,-14.304,1,Come Away With Me,72,26/02/2002,0.0322,80.367,en
0.816,2002,0.306,['Cardenales De Nuevo León'],0.757,183947,0.606,0,4XC7YfQYxDuUa7I287yeWw,0,5,0.0619,-7.737,1,Belleza De Cantina,72,01/01/2002,0.0445,96.432,es
0.859,2002,0.17,['Juanes'],0.696,250693,0.758,0,3b1IQflSLrgzYQPGFzI9cl,3.33E-05,4,0.189,-6.076,1,Es Por Tí,72,01/01/2002,0.0264,129.943,es
0.453,2003,0.00461,['Three Days Grace'],0.498,231480,0.83,0,0M955bMOoilikPXwKLYpoi,0,6,0.139,-5.157,0,I Hate Everything About You,72,19/04/2003,0.0421,89.342,en
0.407,1992,0.526,['Neil Young'],0.648,303213,0.309,0,5l9c6bJmzvftumhz4TMPgk,0.000249,2,0.124,-12.432,1,Harvest Moon,72,02/11/1992,0.0264,112.929,en
0.422,1992,0.8,['Eric Clapton'],0.695,280000,0.336,0,612VcBshQcy4mpB2utGc3H,0.00264,9,0.701,-12.999,1,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",72,25/08/1992,0.0313,79.109,en
0.175,1993,0.245,['Mazzy Star'],0.42,295600,0.33,0,1LzNfuep1bnAUR9skqdHCK,0.000679,9,0.0677,-13.925,1,Fade Into You,72,05/10/1993,0.0275,157.143,en
0.486,1993,0.000202,['Aerosmith'],0.445,308333,0.856,0,0NJC0FDCODpPUntRTTQq97,0.0101,9,0.367,-3.674,1,Cryin',72,01/01/1993,0.0327,105.872,en
0.178,1993,0.735,['Mariah Carey'],0.501,257733,0.378,0,4FCb4CUbFCMNRkI6lYc1zI,0,4,0.119,-9.37,1,Hero,72,04/08/1993,0.029,119.987,en
0.858,1993,0.00547,['Ace of Base'],0.798,211213,0.625,0,6kWJvPfC4DgUpRsXKNa9z9,7.98E-05,11,0.103,-9.689,1,All That She Wants,72,24/12/1993,0.0548,93.764,en
0.407,1992,0.526,['Neil Young'],0.648,303213,0.309,0,5l9c6bJmzvftumhz4TMPgk,0.000249,2,0.124,-12.432,1,Harvest Moon,72,02/11/1992,0.0264,112.929,en
0.422,1992,0.8,['Eric Clapton'],0.695,280000,0.336,0,612VcBshQcy4mpB2utGc3H,0.00264,9,0.701,-12.999,1,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",72,25/08/1992,0.0313,79.109,en
0.675,1972,0.823,['Stevie Wonder'],0.519,178200,0.46,0,0n2pjCIMKwHSXoYfEbYMfX,5.97E-05,11,0.243,-14.53,1,You Are The Sunshine Of My Life,71,28/10/1972,0.0688,132.082,en
0.861,2002,0.181,['Uncle Kracker'],0.583,255560,0.66,0,0RFgvrhkf9FiDRLA0BhzpZ,0,11,0.0979,-5.078,1,Drift Away,71,09/07/2002,0.0377,151.956,en
0.368,2002,0.000336,['Audioslave'],0.433,277840,0.854,0,1Qdnvn4XlmZANCVy3XjrQo,0.000177,9,0.162,-3.868,1,Show Me How to Live,71,17/11/2002,0.0483,89.4,en
0.809,2002,0.0913,['Maroon 5'],0.608,244880,0.768,0,5qII2n90lVdPDcgXEEVHNy,0,0,0.0629,-5.227,1,Sunday Morning,71,2002,0.0475,88.059,en
0.193,2002,0.0553,['Coldplay'],0.424,226680,0.588,0,2nvC4i2aMo4CzRjRflysah,4.95E-06,9,0.298,-5.455,1,In My Place,71,08/08/2002,0.0278,144.636,en
0.585,1992,0.000332,['Alice In Chains'],0.305,206773,0.832,0,5sFDReWLrZHLFZFjHsjUTS,2.40E-05,6,0.091,-7.981,1,Would?,71,29/09/1992,0.0398,100.677,en
0.51,1992,0.000805,['Megadeth'],0.61,246733,0.891,0,51TG9W3y9qyO8BY5RXKgnZ,0.0928,4,0.0657,-5.452,0,Symphony Of Destruction,71,14/07/1992,0.0587,139.903,en
0.962,1992,0.0102,['Maná'],0.543,263306,0.903,0,5EJ2THuhAapEIeQOtXUQ0x,0.00585,11,0.0862,-6.658,0,Oye Mi Amor,71,1992,0.039,162.241,es
0.32,1993,0.372,['Sting'],0.651,222120,0.339,0,0I1DJdLt9BKOb7GWmWxCjo,0.0141,2,0.0739,-11.917,1,Fields Of Gold,71,09/03/1993,0.0246,103.996,en
0.585,1992,0.000332,['Alice In Chains'],0.305,206773,0.832,0,5sFDReWLrZHLFZFjHsjUTS,2.40E-05,6,0.091,-7.981,1,Would?,71,29/09/1992,0.0398,100.677,en
0.51,1992,0.000805,['Megadeth'],0.61,246733,0.891,0,51TG9W3y9qyO8BY5RXKgnZ,0.0928,4,0.0657,-5.452,0,Symphony Of Destruction,71,14/07/1992,0.0587,139.903,en
0.962,1992,0.0102,['Maná'],0.543,263306,0.903,0,5EJ2THuhAapEIeQOtXUQ0x,0.00585,11,0.0862,-6.658,0,Oye Mi Amor,71,1992,0.039,162.241,es
0.963,1972,0.218,['Steely Dan'],0.682,356733,0.537,0,2BstRQGodshjGpeDGQiNgo,3.07E-05,2,0.0556,-10.254,0,Do It Again,70,01/01/1972,0.0323,124.574,en
0.818,1972,0.223,"['America', 'George Martin']",0.673,211387,0.581,0,4IU1RL4BKvFyXtbTwaHAvW,0.000206,2,0.063,-10.205,1,Ventura Highway,70,01/01/1972,0.029,130.771,en
0.964,1972,0.0936,['Stealers Wheel'],0.82,208947,0.575,0,3Vby4nGmtbDo7HDJamOWkT,0.000135,7,0.109,-9.144,1,Stuck In The Middle With You,70,01/01/1972,0.0408,123.765,en
0.0872,1972,0.744,['Lou Reed'],0.4,225000,0.267,0,4TOMI010Sd4ZAX4aZ5TS85,0.00734,10,0.103,-12.488,1,Perfect Day,70,01/12/1972,0.0323,144.799,en
0.976,1947,0.799,['Gene Autry'],0.834,150267,0.371,0,25leEEaz1gIpp7o21Fqyjo,0,1,0.275,-11.99,1,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,70,1947,0.0358,96.628,en
0.609,2002,0.00043,['Good Charlotte'],0.62,190173,0.93,0,2g2a5kDeZexbUTD8abcvm6,0,1,0.0686,-3.685,1,Lifestyles of the Rich & Famous,70,04/10/2002,0.0374,106.22,en
0.591,2002,1.87E-05,['Nirvana'],0.409,166640,0.932,0,55yvzYuvJYG2RUEnMK78tr,1.60E-06,11,0.31,-4.538,0,About A Girl,70,29/10/2002,0.0339,131.761,en
0.208,2002,0.08,['Avril Lavigne'],0.457,223067,0.406,0,1jlG3KJ3gdYmhfuySFfpO1,0,9,0.117,-7.462,1,I'm with You,70,04/06/2002,0.0291,151.95,en
0.484,2002,0.507,['Ricardo Arjona'],0.626,330373,0.714,0,5UJsYyBi0CdSJl0ul5aTgO,0.000851,0,0.101,-3.824,1,El Problema,70,2002,0.0259,99.907,es
0.593,2003,0.00103,['blink-182'],0.664,227240,0.781,0,1oTo3ijRbaDAtrjJrGAPSw,5.33E-06,11,0.0867,-6.547,1,I Miss You,70,01/01/2003,0.0339,110,en
0.855,2003,0.061,['R. Kelly'],0.795,186067,0.523,0,5dNfHmqgr128gMY2tc5CeJ,0,1,0.0914,-7.165,1,Ignition - Remix,70,2003,0.0423,133.024,en
0.597,2003,0.000616,['Nickelback'],0.455,207467,0.858,0,4PkJ7c9y1CwpuVOiJODnCZ,0.000247,11,0.226,-5.659,0,Someday,70,23/09/2003,0.0391,163.118,en
0.864,2003,0.355,['Los Bukis'],0.815,212227,0.61,0,0LNn2O06dvsZqvWaS870xJ,0,7,0.0764,-13.603,1,Tu Cárcel,70,01/01/2003,0.0279,100.027,es
0.561,1992,0.0132,['Soul Asylum'],0.613,265867,0.72,0,3TW48DvQ7ChwY1Yy1tkMaP,0,0,0.104,-7.957,1,Runaway Train,70,01/01/1992,0.0425,117.341,en
0.663,1992,0.679,['Nat King Cole'],0.425,155307,0.373,0,4QxDOjgpYtQDxxbWPuEJOy,0,4,0.077,-7.543,1,L-O-V-E,70,01/01/1992,0.0797,78.225,en
0.807,1992,0.215,['Annie Lennox'],0.75,253296,0.562,0,4CcSw8wQAHYf4XNckayPoc,1.10E-06,0,0.105,-8.45,1,Walking on Broken Glass,70,02/04/1992,0.0281,115.008,en
0.636,1992,0.321,['Eric Clapton'],0.558,289027,0.524,0,3BEZCNZSmVv30vsMNSOCri,0.000952,2,0.94,-11.626,0,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",70,25/08/1992,0.0459,93.654,en
0.678,1993,0.928,"[""Israel Kamakawiwo'ole""]",0.663,308027,0.168,0,25U7raB3ZSszayTYClh4hF,5.68E-05,0,0.361,-13.725,1,Somewhere Over The Rainbow_What A Wonderful World,70,01/11/1993,0.0448,85.005,en
0.899,1993,0.00928,['Ace of Base'],0.808,191240,0.786,0,0hrBpAOgrt8RXigk83LLNE,0.0701,4,0.0574,-6.897,0,The Sign,70,24/12/1993,0.0447,96.987,en
0.147,1993,0.323,['Mariah Carey'],0.576,213667,0.526,0,1kMOJBmpfWD9fir6st9uqS,2.01E-06,6,0.0548,-8.524,1,Without You,70,04/08/1993,0.0325,122.06,en
0.561,1992,0.0132,['Soul Asylum'],0.613,265867,0.72,0,3TW48DvQ7ChwY1Yy1tkMaP,0,0,0.104,-7.957,1,Runaway Train,70,01/01/1992,0.0425,117.341,en
0.663,1992,0.679,['Nat King Cole'],0.425,155307,0.373,0,4QxDOjgpYtQDxxbWPuEJOy,0,4,0.077,-7.543,1,L-O-V-E,70,01/01/1992,0.0797,78.225,en
0.807,1992,0.215,['Annie Lennox'],0.75,253296,0.562,0,4CcSw8wQAHYf4XNckayPoc,1.10E-06,0,0.105,-8.45,1,Walking on Broken Glass,70,02/04/1992,0.0281,115.008,en
0.636,1992,0.321,['Eric Clapton'],0.558,289027,0.524,0,3BEZCNZSmVv30vsMNSOCri,0.000952,2,0.94,-11.626,0,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",70,25/08/1992,0.0459,93.654,en
0.687,1972,0.186,"[""The O'Jays""]",0.744,178400,0.568,0,28285KFbyCq8sJofn58qlD,1.18E-05,0,0.163,-9.629,1,Love Train,69,1972,0.0494,122.657,en
0.444,1972,0.431,['Neil Young'],0.702,202147,0.244,0,16XeptMdlJTWWeIrwEAOvv,0.00867,4,0.0963,-15.286,0,Old Man - 2009 Remaster,69,14/02/1972,0.0355,141.317,en
0.438,1972,0.819,['Nick Drake'],0.638,123333,0.256,0,16qzGrIMWoxerw2gnW0zuv,0.0707,3,0.145,-15.68,1,Pink Moon,69,25/02/1972,0.0492,82.479,en
0.446,1972,0.735,['Bread'],0.365,187000,0.338,0,52VIdyKqp1pJRSyUQaxKUA,0,2,0.104,-13.406,1,Everything I Own,69,1972,0.0322,79.241,en
0.332,2002,0.000671,['Chevelle'],0.509,238400,0.843,0,1gyee1JuFFiP476LQpRMYU,0.000803,1,0.348,-3.318,0,The Red,69,2002,0.0488,140.055,en
0.374,2002,0.00385,['3 Doors Down'],0.53,260333,0.768,0,3WbphvawbMZ8FyqDxYGdSQ,0,7,0.103,-5.611,1,When I'm Gone,69,12/11/2002,0.0284,148.095,en
0.444,2002,0.534,['The Chicks'],0.571,230549,0.438,0,5hviCr3lgg6LY6noG6DPKs,1.56E-05,2,0.187,-7.007,1,Landslide,69,27/08/2002,0.0279,145.948,en
0.737,2002,0.0459,['Los Angeles De Charly'],0.66,225360,0.666,0,6iPDBwtiOZGlfQt9HD0jAG,0,9,0.0518,-3.996,0,Un Sueño,69,01/01/2002,0.0269,149.445,es
0.45,2002,0.235,['Christina Aguilera'],0.435,245960,0.92,0,7nXq1vaZiz7PdbfojpPjW5,0.000353,4,0.552,-1.357,0,Fighter,69,19/07/2002,0.201,188.899,en
0.809,2002,0.0525,['Maroon 5'],0.712,206200,0.862,0,6YgV0EF8xJMZz0Zm6BTaT4,0,5,0.093,-4.612,0,This Love,69,25/06/2002,0.0378,95.051,en
0.403,2002,0.013,['Red Hot Chili Peppers'],0.725,231933,0.803,0,1ndGB6rvxKYN9seCYO1dTF,3.66E-05,2,0.0891,-4.083,1,The Zephyr Song,69,09/07/2002,0.0337,117.391,en
